,Unnamed: 0,댓글
0,0,이 편은 '무야호'가 레전드지ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1,1,무 야 호~
2,2,4:31
3,3,무야호 직전에 야민정음도 나름 웃겼음ㅋㅋㅋ
4,4,"노홍철반응이더웃김ㅋㅋㅋ 못볼껄봤단표정으로 ""아....."""
5,5,ㄹㅇ 레전드
6,6,무야호는 나의 웃음버튼
7,7,ㅆㅇㅈ
8,8,무야호 못보겠어 너무 민망해ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
9,9,ㅋㅋㅋ 내 웃음벨 무야호우ㅋㅋㅋㅋ
10,10,무야호할아버지 졸귀 ㅋㅋㅋ
11,11,30분짜리 뜨면 왠지 맘이 든든하다ㅋ
12,12,밥먹을때 개꿀
13,13, @안태현  ㅇㅈ 밥먹을때 꼭 봐야 잘넘어감
14,14,든----든!
15,15,밥보다 도넛이나 케이크같은 간식 먹으면서 보면세상 다 가진 듯 행복ㄹㅇ
16,16,국밥같은 뜨끈~한무한도전30분
17,17,가슴이 웅장해진다
18,18,저도요 ㅎㅎ 그냥 세상 든든함 ㅎ
19,19,"전 잘때 틀어놓고, 어둠속에서 소리만 들음 ㅋㅋ"
20,20,23분인뎁쇼
21,21,냉장고 청소할려고 영상찾고잇엇는데 개꿀
22,22,16:54 본방으로 볼때 땀뻘뻘흘리면서 웃었음ㅋㅋㅋㅋㅋㅋ아직도기억나네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ갑자기 정신줄내려놓는 표정 개웃겻네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
23,23,방콕 특집때 여자분 생각나ㅋㅋㅋㅋ
24,24, @가이Gai  프사 본인이세요?
25,25,알래스카 관광나이트ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
26,26,6년만에 본색드러낸형ㅋㅋㅋ
27,27,유돈노의 시작인 레전드 특집 빠질것하나없는 재밌는편 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
28,28,무한도전은 나의 청춘 그 자체다. 그래서 수년이 지난 지금도 무한도전을 보면 왜 이러케 가슴이 찡한지 모르겠어
29,29,그때는 친구였고 지금은 추억이라 부르죠보고싶은 친구
30,30,지오디도 추억이네
31,31,계상이형...
32,32, @lee jc  안녕하세요
33,33, @Jjmytr jngfyh  ㅛㅛㅛ
34,34, @윤계상  ㅋㅋㅋㅋ센스있으셔
35,35,야이야아아 그렇게 살아가고~
36,36,저때 무도 감성 너무좋음... 다들 캐릭터 잡아가고 노찌롱 날라다니고 개꿀잼 특별히 뭐안해도 스텦들이랑 티키타카만해도 재밋엇음ㅜ 자막도 꿀잼
37,37,16:53 스태프님 세상은 요지경ㅋㅋㅋ어쩜 저리 춤사위가 맛깔나고 코믹스러울까요ㅋㅋ배잡고 울었어요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
38,38,16:55 아니 개그맨은 직업이라고 치고 스태프는 왤케 웃긴거얔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 신들린줄 알았넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ가사는 또 세상은 요지경 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
39,39,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋ
40,40,FD 분 가수가 아니고 개그맨 준비생이었다는게 정설ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
41,41,순간 동공이 풀리는데 웃겨뒤지는줄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅌㅋㅋㅋㅋㅋㅋㅌㅌㅋㅋㅋ케
42,42,아앀ㅋㅋㅋㅋㅋㅋㅋㅋ 암 생각없이 눌렀다가 개 놀랐네
43,43,깜빡이 없이 바로들어가는게 킬포 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
44,44,갑자기 시작하는데 존나 잘하는거 개웃김ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋ
45,45,ㅎㅋㅋㅋㅋㅋㄹㅇ 무도는 스탶까지 개웃김
46,46,빙의한줄ㅋㅋㅋ
47,47,원래 노래방에서 분위기띄워야할 회사일수록 끼가 많음
48,48,조충현 닮은듯ㅋㅋㅋㅋ
49,49,나도 친구들이랑 알래스카에 무작정 떠나서 즉흥적으로 이것저것 하면서 다녀보고 싶다..평생 추억일 듯
50,50,나랑 하자
51,51,나랑도하자
52,52,저도 껴줘요ㅠ
