,Unnamed: 0,댓글
0,0,"이재명후보 정책때문에  경기도로 이사 하고싶었는데,  한국으로 이민오고싶은분들 많겠네요. 대한민국 국민이라   행복합니다."
1,1,이재갑 교수님 응원합니다. 가족분들도 기운내시길 바랍니다.
2,2,김어준은 대한민국 위해 하늘이 선물한  정치의 신이다국해의원 100명을 상대로 맞짱뜰수 있는   진정한  싸움의 고수
3,3,다스뵈이다가 국내 탑인 이유는....팟캐 나꼼수 때도 그랬지만 자칫 비분강개하고 심각해야 할 이야기를객관화 하여 바라볼 수 있게 위트와 풍자를 절묘하게 혼합한다는 것이다. 출연자들 모두 웃으며 이야기를 할 수 있도록 풀어 나가는 김어준의 초능력에 다시 한번 감탄합니다.
4,4,정조대왕이 10년만 더 정치를 했드라면 다음 왕과 신하들이 엄청난 고전을 읽지않을 수 없었을 것이다.라는 말처럼 이재명 이후의 대통령은 엄청난 공부를 하여 내공을 쌓지않으면 무시당할 것이다.차차기를 꿈꾸는 지도자는 지금부터라도 제대로 준비를 하시라!
5,5,"이재갑 교수. 힘 내세요.과학을 믿는 사람이 많으면 선진국이고, 믿지 않는 사람이 많을수록 후진국입니다.대한민국은 선진국입니다. 안티들보다 신뢰하는 사람이 더 많습니다."
6,6,"수많은 사람의 목숨을 두고 고의적으로 장난하는 전문가,언론,법원,정치집단이라니.. 이런건 용서하면 안된다!살인죄가 여기에 있다!"
7,7,그냥 차이가 아니라 월.등.한. 차이!자부심을 가지고 응원합니다~!!
8,8,미국 살아보니 대한민국이 정말 제일 잘하고 있고  부러워요.미국  국민성 후진국입니다. 대한민국은 이재갑 교수님 같은분 뿐만아니라 공장장님등등 또 그분들의 말에 지지하는 국민들이 많기 때문입니다.우리나라 민족성이 최고입니다.이번에는 꼭꼭 투표하겠습니다.
9,9,맞아요 저도 호주에사는데 한국이 정말 잘 하고 있는데 정작 한국인들은 잘 몰라서 안타까워요. 호주산불났을때 총리 비롯 장관들 휴가라고 놀러가고 코로나는 봉쇄만 하다 경재 폭망하고있죠..
10,10,저도 호주 멜번 살고잇어요. 한국은 정부가 얼마나 잘대응하고 있는지 모르는듯. 조중동같은 찌라시때문일수도있구요. 암튼 올해 첨으로 재외국민 투표하게됐어요. 이재명 뽑지않으려구요. 이재명대통령 심을겁니다.!!!!
11,11,"네 맞아요. 한국인으로 산다는게 행복합니다. 문재인 대통령, 유시민 작가, 김어준 총수... 이재명 후보까지. 대단한 분들이고 존경합니다. 진짜 애국을 하고 계시고 진정 대한민국 국민을 아끼고 사랑하시는 분들입니다. 감사합니다."
12,12,"멜번 사는 친구왈 ‘야간 무조건 외출금지야, 한국인들 왜 저러나 몰라~~’오늘도 5만명 확진되었다고 해요."
13,13,저도 캘리포니아 사는데 한국가서 살고 싶어요.선거등록했어요한표라도 더해드리고싶어요
14,14,"교포 여러분 감사합니다ㆍ힘내시고 ᆢ꼭 투표하시고,투표 독려해주세요~~"
15,15,여기도 미국입니다. 격이 다른 코리안입니다. 마스크 미착용자가 널렸죠.
16,16,"[삼프로가 나라를 구했다.]경제 유튜브 ""삼프로TV""에서 두후보에게 경제에 관하여 1시간 30분정도 각각 담화를 하였습니다.""삼프로가 묻고 이재명이 답하다"" [ 조회수 637만,  댓글 6.8만  :  1월 8일 07시 현재 ]""삼프로가 묻고 윤석열이 답하다"" [ 조회수 332만,  댓글 6.7만  :  1월 8일 07시 현재 ]한 후보의 담화는 시간 가는 줄 모르게 들을 수 있었는데, 한 후보의 담화는 특유의 횡설수설로 인내심을 가지고 들어야 합니다.중도층 여러분 방송 보시면 후보 결정에 큰 도움이 될 것입니다."
17,17,모두모두 지금의 대한민국을 지지하시는 분들이네요건강하세요~~!!!!!
18,18,"우상호의원님, 훌륭하십니다. 발전하는 주변분들의 모습을 진심으로 응원하며 인정해 주시고존경하며 따르는 모습이 존경스럽습니다. 저 같으면 경쟁상대라 생각하며질투를 했을것 같은데요.우의원님도 큰 인물이십니다."
19,19,질문에 대한 답을 하지 못하는 사람에게 우리의 미래를 맡길 수 없어요.  우리의 질문에 알맞은 대답은 커녕 어떤 답도 내 놓지못하는 대표는 필요 없어요.
20,20,이번 백신패스 금지 가처분 인용의 논리대로라면 의무교육은 개인의 자유를 심각하게 침해하므로 학교를 없애야 합니다.
21,21,제발 정치가 개혁되서 제일빠르게  변화하고 발전하고 투명해지길 바랍니다
22,22,이재갑 교수님 정말 고생하십니다가족들 까지 피해를 본다니 마음이 아프네요힘내시고 지금처럼 굳건하게 의연하게 국민을 위하여ㅇ강단있게 방역을 위하여 애써주세요감사합니다
23,23,그러게요~~힘내시라고 응원하는수밖에요
24,24,판사가 방역을 막아버린 상황이죠이재갑 교수님 말씀에 매우 공감합니다.
25,25,안철수는  아무것도 안하는데 왜 지지율 올라가죠 ?  이재명님 쉬지도 않고 매일 일정이 가득한데 왜 제자리 걸음인가요 ?
26,26,언론의 힘
27,27,다스뵈이다 보는 행복♡!!!감사합니다 ^^
28,28,어준하고 거의없다 두사람 티키타카가 너무 유쾌하다 간만에 행복한 유쾌함 ㅎㅎㅎㅎㅎ
29,29,다스뵈이다 100만 가즈아~~!!!!
30,30,가즈아~~~구독해!!!!
31,31,"이재명이 발전도상인이라는데 동감이지만,이재명의 과거행보를 잘 안다면 오래전부터 그는 보통사람이 아니었다그랬기때문에 악의 카르텔로부터갖은 모략을 당해왔고나쁜 이미지 프래임으로 이재명을 평가절하해왔었다그는 예전부터 정말 괜찮은 사람이었고 이제 그의 큰 무대에서 마음껏 펼치고 있다고 본다"
32,32,발전도상인 과 함께 생존자 라는 유시민작가님의 평이 팍 와닿았어요 이재명 스스로 헤쳐나와 살아남은 그가 든든한 조력을 받는다면 어떤성과를 낼지 아주 기대합니다
33,33,"맞습니다.예전에도 너무 괜찮은 분, 지금은 전 보다 더욱 더 훌륭한 분이십니다."
34,34,격공합니다
35,35,이재갑교수님 화이팅입니다기더기들 농간에 대책없이 놀아나는일부인사들의 행태에 분노를 넘어서서참담합니다.
36,36,"내 머리털나고 지금까지 살면서 이같은 대통령후보는 본적이 없다.이재명은 대한민국의 국민들을 불쌍히 여겨 하늘이 보내준 선물이라고밖엔 달리 표현할 방법이 없다.만약 우리가 넝쿨째 굴러온 이 귀한 선물을 놓친다면, 우리는 그 댓가로 이제껏 경험해 보지 못한 망가질대로 망가진,혹독하고도 참담한 회복 불능의 나락으로 떨어질 것이라는 것을 나는 직감한다.그야말로 《떠먹여 주는 밥도 못 찾아먹는 천하의 어리석은 국민이자, 구제불능의 바보•천치의 국민이 되는 것이다.》"
37,37,애국자면 누구나 이재명 응원합니다.
38,38,감염내과 전공의도아닌피부과. 방사선과이런  의사들이 자기들이책임질  자리에  있지도안으면서   무책임한 발언을하고있는  의사들  정신차려라.주.야 로열심이신   의사선생님간호사 선생님   감사합니다
39,39,함익병 백신맞지 말고  집에처박혀 나오지마세요남이 잘못되면 파티하시는분 사악한친구들과 잘사세요  매달 장모한테 연금주면서 피부과라 무시당하면서  본인엄마한테 함부로 하는 모지리
40,40,"김어준님어찌해야다스뵈이다가백만을찍을까요속상해요저희식구들인척들두루두루전파하고있어요빠리백만을찍어서김어준님께선물해주고싶은데마음처럼돼지않아속상해요지치지않고,,이젠이재명대통령만들기위해노력합시다"
41,41,"다스뵈이더 방송 내용을 주제별/구간별로 ""짧게"" 편집해서, 재업하되 - 제목을 적절히 달면, ... 약 5개월 후면 구독자가 130만 명을 넘길 것으로 사료됩니다. 이 일은 다스뵈이더 편집팀의 일이 될 것인데, 인력이 부족할 경우 따로 스크립터(편집자)를 한 명 고용해야 할 지도 모르죠. (내부 사정은 알 수 없으니..) 아무튼 다스뵈이더 방송분을 쪼개서 재판매하는 것만으로 200만 명까지는 무난할 걸로 생각합니다."
42,42,맞아요짝짝짝
43,43,우리 민주진영의 선물 “이재명” 인상적인 멘트네요
44,44,윤석열 아버지를 소환하라!윤석열의 거친 말...두려움...약자에 강하고 무자비한 모습들.엄하고 억압적인 아버지영향이 크다!이걸 극복하지못한...대선후보...
45,45,백신무용론 주장하는 사람은 젤 먼저 맞고 데모를 하는거라 생각하고 그 판사는 가족들이 백신 안맞고 치명상을 입어야 후회하겠지.
46,46,돈룩업을 보고 있으니 알고 있는 듯한 영화 두개를 하나로 갈아놓은 듯한 느낌이고요.재밌게 봤네요.
