,Unnamed: 0,댓글
0,0,캐릭터가 너무나 귀여워서 계속 보고 있습니다~ 역사에 대해서도 다시 보게되어 공부가 잘되고 있습니다
1,1,딱 알맞은 캐릭터들과 설명 덕분에 집중이 진짜 잘 되고 정말 재밌고 유익하게 봤어요 감사합니다😀
2,2,아니 이분 너무 집중이 잘 되게 설명해주셔서 스킵 한 번됴 안 하고 한시간 반을 다 봤어요 정말 재밌습니다
3,3,역사의 흐름이 이렇게 재미있는줄 몰랐어요. 역사의 흐름상 중요한 포인트를 너무 매끄럽게 짚어나가는데다 목소리도 알아듣기 좋아서 내용이 쏙쏙 들어와요 ㅎㅎ 이후 영상도 잘 보겠습니다. 너무 감사합니다.
4,4,재밌게 봐주셔서 제가 더 너무너무 감사합니다!! ㅎㅎ
5,5,","
6,6,333
7,7,"풀영상 너무 좋습니다 ㅠ 한번더 들어야겠네요...역사공부하는게 아니고 그냥 이야기 듣는거 같아서 너무 좋아요!!👍👍"
8,8,감사합니다! 돌아오는 화요일엔 태조 이성계편이 풀영상으로 올라갈 예정이니 조금만 기다려주세요! ㅎㅎ
9,9,역사가 재미없고 지루한 공부인줄 알았는데 애니메이션으로 쉽게 설명해주시니까 역사에 조금 더 흥미가 생겼습니다
10,10,좋은 말씀 감사합니다!흥미 잃으시지 않도록 앞으로도 쉽고 재밌게 만들어보겠습니다 ㅎㅎ
11,11,너무 재밌어요!! 역사를 이렇게 재밌게 볼 수 있다니!! 한두개씩 보다보니 역주행님이 올려놓은 영상을 다 봤네요. 좋은 영상 감사합니다~
12,12,이해하기 쉽게 요약해서 잘 되었네요잘 들었습니다. 최고
13,13,아주 잘 만들어져서 재밌게 보고 있습니다.  감사합니다.
14,14,ㅇㅈ
15,15,이렇게 잘 만들수가.. 잘 보았습니다. ^^
16,16,우와... 마치 영화 한편을 보는 듯 했습니다.한시간 반만에 육룡이나르샤를 완주했네요. ^^
17,17,이렇게 긴 영상인데도 지루하지 않고 넘재밌게 봄. 해설을 어쩜이렇게 잘할까 이해하기 쉽게.  보는 내내 생각함 속속 귀에들어옴. 잘 잘하십니다 내가 표현을 못하겠네요 역사공부 제대로 하고갑니다 감사해요
18,18,좋은 말씀 정말 감사합니다! 앞으로 더 좋은 영상으로 찾아뵙겠습니다 ㅎㅎ
19,19,오래전에도 이런 유튜브 방송이 있었다면 역사공부 이백점만점 맞았겠다 생각됩니다.ㅎ역사공부 나이들어도 관심있게 공부하고 있기에 ^^ 감사합니다.
20,20,공부로서 역사와 재미로의 역사는 다릅니다
21,21,와 미치겠다. 이렇게 알찬내용을 이렇게 재밌게 보다니  재미로 치자면 영화 한편 본것 같은데 내용이 영화 수십편이네요
22,22,재미있고 쉬운 설명에 연기력까지 갖추심^^좋은영상 감사합니다~♡♡몇번씩  들을거에요~~^^
23,23,너무 잘 만드셨습니다.  잘 보겠습니다.  앞으로 기대가 큽니다..  구독자 학습자 시청자 빽을 믿고 과감히 제작 해주세요
24,24,시청해주셔서 너무 감사합니다! ㅎㅎ기대해주시고 응원해주시는 만큼 앞으로 더 좋은 영상으로 찾아뵙겠습니다!
25,25,아 이런 컨텐츠가 공짜라니...내가 학생일 때 이런 게 있었다면 얼마나 좋았을까..힘들게 공부했던 기억이 난다.
26,26,와 진짜 영혼없이 드라마 클립만 보다가 이렇게 재밌고 유익한 영상보니 넘 좋아요 ㅠㅠㅠㅠ 문종보다 여기까지…
27,27,긴영상을 너무 잘 만들어 주셔서 잘 보았습니다. 노고에 감사드립니다.
28,28,최고의 역사 교양 유튜브네요:) 잘 보겠습니다.
29,29,7번 국도 지나다가 우연찮게 공양왕의 무덤(경기도에도 있다고 함)을 봤는데 왕의 무덤 같지않게 쓸쓸하고 많이 허름해서 맘이 허했네요.
30,30,7반국도는  경기도를  안지나는데요 ㅋ
31,31, @나홀로물류  공양왕 무덤이라고 알려진 곳이 두 군데가 있고 그 중 한 곳이 경기도 어디라고 안내판에 적혀있어서 적어본겁니다.
32,32,경기도 고양시에 있는 곳은 나름 좀 꾸며놨습니다. 조선 왕릉에 비하면 보잘 것 없지만요
33,33,너무 유익하고 재밌었습니다.
34,34,요즘 학생들 유튜브의 순기능만 잘이용하면 성적이 쭉쭉 오를듯ㅋㅋ 진짜 요점정리 잘되있네요
35,35,공민왕이 그동안 이미지보다는 꽤 이것저것 치열하게 살았군여
36,36,진짜 제가 필요한 부분을 이렇게 속시원하게 잘 할 콘텐츠는 처음 봅니다.ㅋㅋㅋㅋ 정말 제 소원이 이루어지는 순간입니다. 앞으로도 잘 부탁드립니다. 최고입니다~^^
37,37,좋은 말씀 정말 감사합니다!앞으로 더욱 재밌는 영상으로 찾아뵙겠습니다 ㅎㅎ
38,38, @역주행-조선왕조실록  이걸로도 한국사 기본 3급이상은 맞을 듯합니다 ㅎㅎㅎㅎ
39,39," @하니  조선왕조실록이 끝나면 고려, 삼국시대 역사도 쭉쭉 이어갈 예정이니 전부 다 보시고 1급 받으시죠!! ㅎㅎㅎ시청해주시고 좋은 글 남겨주셔서 정말 감사합니다!"
40,40, @역주행-조선왕조실록  넹 ㅋㅋㅋㅋㅋ
41,41,진짜 학생일때 들었으면 나 1등급 받았을꺼 같아요 너무 집중해서 잘 봤습니다!
42,42,안타깝지만 시험에는 저런 내용 안나옵니다~~
43,43,"와...대충 30분만 보고 딴거 보러가려고 했는데 다 봐버렸네요...최영, 이성계, 정몽주가 거의 슈퍼히어로급이군요"
44,44,진포해전당시에는 발사하는 화포가 있었던게 아니고 발사체를 손이나 기구를 통해 던져서 사용했던것으로 알고있으니 내용확인해주세요
45,45,와아~ 정리 잘 되어있고 설명도 재밌어요. 최고입니다
46,46,좋은 말씀 감사합니다!
