,Unnamed: 0,댓글
0,0,와 10승 투수를 패전 마무리로 쓰고 빈볼 던지게 해서 코시 엔트리에 못들게 한다는게 지금으로선 상상이 안가네요… 영광스런 기록 뒤에 이런 보이지 않는 슬픈 얘기도 많아서 놀랍습니다.
1,1,비단 경기에만 수시로 투입되었던 마당쇠가 아니라 아예 경기 외적으로도 마당쇠였군요. 어렸을 때는 선동렬 이종범 등 스타플레이어들의 화려한 경기에 주로 환호했지만 나이가 들고 인생을 좀 더 살아보니 송유석 전설에 더 애틋함이 가게 되네요
2,2,정회열 전설..아니 형님 성격 참 좋습니다. 친절하기도 하고 옆집 형처럼 푸근합니다. 군대시절 손목을 크게 다쳐 광주국군통합병원에 입원하게 되었는데 정회열 선수가 같은 병실에 입원해 계시더군요. 제가 욕실에서 한손으로 머리를 감으려고 하는데 갑자기 오시더니 머리감는걸 도와주시는 겁니다. 완전 감동! 가뜩이나 해태팬이자 야구광이었는데  티비에서만 보던 선수를 바로 옆에서 그것도 제 머리를 감겨주시니 너무나 감사했습니다. 그 후로 친해져서 즐겁게 통합병원 운동장에서 같이 야구도 하고 시간을 함께 했던 때가 생각이 나네요. 시간이 오래 지났지만 아직도 잊지 못하고 있네요. 보고 계시다면 이 자리를 빌어 다시 한번감사드리고 아들 정해영 선수 열심히 응원하겠습니다.
3,3,눈물없이 들을 수가 없네요. 독특했던 투창던지기폼의 송유석 전설.... 해태구단도 정말 너무했네요. 그때 선배들도 송유석님에게는 정말 잘해야 하겠네요. 특히 김응룡 감독도...
4,4,송유석도 천재야..고2때  야구 시작해서..1류 프로선수가  되다니..
5,5,송유석선수 굉장히 대인배이신듯.. 젊은시절 힘든 잡일 혼자 다하고.. 컨디션 조절이고 뭐고 없이 아무때나 막 내보내도 그런 고생한게 지금 자기를 만들어줬다고 긍정적으로 승화시키는 분이네요.. 반강제로 코시 엔트리 제외시키려고하고 트레이드까지 시켜버렸는데도 김감독 욕 안하시는 것도 그렇고.. 이상훈 빠지고 불펜 약해진 엘지에서도 역할 잘해주고 어딜 가든 자기 역할은 확실하게 하던 분으로 기억합니다 좋은 방송 잘봤습니다
6,6,전 롯데팬인데 타이거즈팬들이 부럽네요이런 레전드들을 볼수있는 장을 열어주네요~이런 레전드들이 있기에 타이거즈팬들은 자부심을 가지셔도 됩니다~~부럽네요
7,7,좃데는 지금까지 2번 우승만 한 구단
8,8,당시 모두 어렵긴 했지만특히 가난했던 해태의 헝그리 정신 일화들을전설들로부터 들을 수 있어서 각별한 느낌입니다
9,9,저도 롯데팬인데 그렇게 생각합니다.
10,10, @슈퍼맨해커  기아팬이시라면 지금우리가 그럴상황이아니에요
11,11,1992년까지는 해태 빼면 롯데가 가장 우승 많이 한 팀이었음 ㅋㅋ
