,Unnamed: 0,댓글
0,0,"광우스님! 실시간으로 법문을 듣게되어 반갑고 기쁨니다. 매일 매일  '소나무'를 잘 들으면서 마음 공부를 하고 있습니다. 스님, 올 한해도 건강하시고 계속해서 '소나무' 가 승승장구해서 우리나라 많은 사람들에게 알려지길 기원합니다. ""스님, 존경합니다.""  항상 감사합니다."
1,1,우연하게 듣게 되었습니다. 맘은 부처님을 향해 있지만 절은 잘 가지도 못 하고 그저 관세음보살만 찾았습니다.  광우스님 말씀 듣고 기도법도 알고 염불도 무엇을 해야 하는지 몰랐는데 한가지만 열심히 해도 된다는 말씀에 너무 고맙고 감사했습니다새해에도 복 많이 받으시고 건강하세요 열심히 듣고 기도하겠습니다 관세음보살
2,2,관세음보살()광우스님 새해 복 많이 받으세요임인년 새해에는 더욱더건강하시고 행복하세요광우스님 좋은법문 잘듣고 있습니다매일 매일  고맙습니다 
3,3,광우스님께 너무나 감사 드립니다많은분들 마음에 깊이 와닿고 재미있고 소중한 법문으로 불자분들이 많이많이 늘어나고 있어요 오늘은 wow~ 8시간ㅋ기획하고 애써주시는 BTN 관계자님들께도 감사 드립니다 새해 福 많이 받으세요
4,4,광우스님 법문감사합니다 나무아미타불 관세음보살 성불하십시요 
5,5,"귀의불, 귀의법, 귀의승새해복 많이 받으시고 늘 건강하시길 기도합니다.광우스님 감사합니다."
6,6,새해복많이받으세요!모든분들행복하시길기원드립니다.!
7,7,절에 다닌지는 오래 되었는데 불법이 너무 어려워서 귀담아 듣지를 못 했습니다광우스님 덕분에 요즘 기도와 더불어 불경공부를 시작해서 너무나 행목합니다감사합니다 새해 福 많이 받으세요.
8,8,새해 복 많이 받으시고 감사합니다.
9,9,스님 부처님가피속에 22년건강하시여 항상좋은법문많이해주십시요 관세음보살 관세음보살 나무관세음보살
10,10,봐도 봐도 신심나고 즐거운 광우스님~~! 올 한 해도 부탁합니다~~!
11,11,시청해 주셔서 감사합니다~! 좋은 하루 되세요!
12,12,소나무 채널을 알게되어서 봉사가 눈뜬 기분입니다~감사합니다
13,13,응원해 주셔서 감사합니다~! 관세음보살 
14,14,광우스님  한해 수고많이 하셨습니다  새해복많이 받으세요  항상 건강하세요  올해도 좋은법문 많이 부탁드립니다️
15,15,귀한 댓글 응원 감사합니다~! 늘 부처님 가피가 함께 하시길 기원합니다~
16,16,관세음보살 광우스님 늘 자비로우시고 훌륭하신  최고의 감동 법문에 한없이 감사드립니다 새해에도 항상 건강하시고 힘내셔요사랑합니다 공경합니다 나무아미타불 나무아미타불 나무아미타불 
17,17,귀한 시간 내주셔서 댓글 응원까지 너무 감사드립니다~! 새해에도 늘 건강하고 부처님 가피가 함께 하길 두손 모아 기도드립니다~!
18,18,광우스님 법문 감사합니다더욱 건강하시고 계속 좋은법문 많이해주셔서 많은불자들에게행복을 주시기 바랍니다_((()))_
19,19,福 지으러 왔습니다.업장소멸.ㅎㅎ광우스님안녕하세요.2022년도에도福많이 주소서.받을준비 ....불자님들도2022년도 모두福지으시는 한 해되시고 건강하세요._()_
20,20,불.법.승의 귀의합니다..광우스님 설법 많이듣고 금강경 강의 공부도 하는중인데..너무 좋아요..광우스님 법문듣고.많이 편해지고.많이 배웁니다..정말 감사하게 생각합니다공경에 삼배 올립니다 합장()()()
21,21,광우스님 임인년 복많이 받으시고 건강하십시오 올해도 중생들에게 많은 마음 수양과 참회하는 법공양할수 있게  부처님과 불보살님들의 가피 받는해가 될 수있도록 해주셔요 관세음보살 
22,22,새해가 바뀌어도 광우스님 법문을 듣게 되어 너무나 행복합니다 하루 하루 기도 저축을 쌓아가야겠습니다_()_
23,23,광우스님 감사합니다새해 복 많이 받으시고 좋은말씀 항상 잘  새겨듣고 있습니다22년 새해 고비를 잘 넘겨 올한해도 감사한 마음으로 살겠습니다항상 건강 하세요
24,24,귀한 시간 내주셔서 댓글 응원까지 너무 감사드립니다~! 새해에도 늘 건강하고 부처님 가피가 함께 하길 두손 모아 기도드립니다~!
25,25,광우스님 새해에도건강하시고 올해도마니 법문해주셨으면좋겠습니다~~()감사합니다
26,26,광우스님  좋은법문 항상 감사드립니다^^  새해 복 많이받으시고 항상 건강하세요♡
27,27,"광우스님  올해도 건강하시고 좋은 법문 해주세요,관세음보살 관세음보살 관세음보살,"
