,Unnamed: 0,댓글
0,0,저 사람들도 이 여행이 생애 마지막 여행이 될 줄 몰랐겠지...... 삼가 고인들의 명복을 빕니다......
1,1,"우주 쟈우린토 ...[ 우주 외계에서 떠도는 거대괴수 ]재해래밸 LV 용급능력 : 우주에서도숨쉴수있음 ,공기없이생존가능, 시속 980km 의비행속도+ 엄청난 내구력.. KA11 대괴인제압용 샤크미사일 안통함 스쿼드미사일에도 버티는광활한맷집 .=제라드미사일3방맞고 잠시기절햇으나 금방회복부활[힐링팩터능력보유].(핵폭탄을쏟아부으려했으나 지구까지멸망할수있어서포기한정부군 ==힐링팩터가있으나 아예안죽는것은아니다 핵폭탄몆방을 계속해서 공격하면죽을수도있다- 약점 : 아직까지밝혀진바없음공격력 = 입자광선을 입에서내뿜고 꼬리한방으로도시가쑥대밭이됨 걸어다니는것만으로도 온몸이무기임 ."
2,2,故sprunk2016~2022삼가 故人의 명복을 빕니다
3,3,"본명 : 천태훈.(제갈주먹)이소협 (천무도개승자)혈투세계관 작중 최강자.김두한.시라소니.신정태.이호.각시탈""아무도 그를 이해하지 못할 거예요. 거의 매번 헤드폰을 끼고 살았던 게 기억나네요. 교수가 수업 시간에 그에게 질문을 했을 때 그는 그냥 먼 산 바라보듯 다른 곳을 보더라고요. 교수 말을 아예 들은 체도 안 했어요. 기가 막힌 교수가 '뭐 하냐, 수업 끝나고 잠깐 볼 수 있냐?'라고 했는데도 그는 여전히 다른 곳을 응시하면서 교수를 무시했어요. 다들 어이없어 했죠.""병신정신가출한 27처먹고통장잔고10만원도없는 인생좆망한무뇌 뇌대가리 씨발동안새끼 ㅋㅋ 블루마가리타 권성철..."
4,4,죽음의관광 이였구나자연은 우리에게 아름다움이라는경관을 주지만 역으로 그아름다움이현실적 이렇게 비극으로 줄지는아무도 몰랐다삼가 고인의명복을 빕니다
5,5,자연은 한치의 자비도 없습니다.
6,6, @성악설  (하지만 배어 그릴스는 그것도 이겨버린다는)
7,7,꼭 인구증가 속도 장난 없는 나라들이 죽기도 오지게 죽네 불변의 진리다
8,8, @뉴비의 게임  대본있는 드라마일 뿐입니다.
9,9, @성악설  그건 아닌거 같음요실제 sas 훈련만 봐도 저건 사람이 맞나 싶을 정도여서
10,10,비극으로 알았을 때.. 빠져나가기에는  이미 너무 늦은거죠.!!! 정말 명복을 빕니다..!!!..
11,11,틀딱들 말투 실화냐? 개똥철학같은말투하노
12,12,자연이 아름다운건 멀리서 봤을 때 얘기다. 멍청하고 우매한 인간들은 그걸 망각하고 자연속으로 들어가지만 본인이 자연속 톰슨가젤이 된다면 그곳은 약육강식과 대자연앞에 한없이 작은 존재라는 것만 자각할뿐이다.멀리서 볼 수 있을 때 실컷 떠들어둬라.
13,13,그리고  자연이 비극도 준다고 쓴 새키는 생각이 없는 새키일뿐. 자연은 비극이고 자비고 상관없는 것이다. 괜히 감정이입시키지 말도록.
14,14, @뉴비의 게임  님이 자연의 무서움을 너무 모르는듯 ....
15,15,한국인었으면 절대 집밖으로 안나갈텐데.. 눈이 얼마나 무서운건지 경험이 없으니.
16,16,고인들의 명복을 빕니다
17,17,ㄴㄴㄴ 착해짐♡♡♡
18,18,추위와 어둠속에서 얼마나 무섭고 고통스러웠을까요. 너무 안따깝네요~ㅜㅜ  삼가 고인의 명복을 빕니다
