,Unnamed: 0,댓글
0,0,아주 유익한 영상 잘 봤습니다. 많은사람들이 구입을 염두에 두고 계신 차량위주로 리뷰해주신것 같습니다 특히 쏘렌토와 펠리세이드의 비교분석은 너무 잘 봤네요 ^^
1,1,시청해주시고 댓글까지 너무너무 감사합니다~~~^^
2,2,"차량 구입을 앞두고 도움 많이됬으며,세분 모두 재밌으시고 영상 진짜 잘만드셨어요40분동안 시간가는지 모르고 봤습니다.세 차량 간단하지만 자세하고 꼼꼼한 리뷰 제가 본 리뷰중에 제일 좋은 영상이네요카니발 차주분 ㅋㅋ 나오기 전에 사셔서 어쩔수없지만 제일 잘생기신거같아요 ㅋㅋ훌룡하신 아버님 이실거같아요 ~"
3,3,카니발 차주분이 제일 잘생겼다고요??ㅎㅎㅎ 잘 전달해드리겠습니다 ㅋㅋㅋㅋ 좋게 봐주셔서 감사합니다^^
4,4,리뷰 좋네요. 펠리세이드가 틈새를 잘 파고든 것 같네요.
5,5,이제와서 댓글 달지만 팰리랑 쏘렌토에 비해 카니발 연식이 오래되어서 확실한 비교는 않되네요.잘 보고 갑니다^^신형 카니발 나오면 한번더 해주세요.
6,6,넵^^!!
7,7,같은 애아빠로서 공감가는 콘텐츠네요 잘 봤습니다~
8,8,시청 감사합니다
9,9,세차종 비교사용자 입장에서 이부해주시니 정말 좋네요.그래도 고민중이지만 ...
10,10,세분의 심성이 느껴지네요. 많은 도움되었습니다. 감사합니다.
11,11,댓글 감사합니다!!
12,12,너무 재미있고 유익한 영상이네요. 세분 너무 케미가 좋아요.
13,13,"풀체 카니발과 팰리 둘중 고민인데, 조금더 알아보고 구매해야겠네요~"
14,14,풀체인지 카니발 인기가 어마어마 할 것 같습니다!ㅎㅎㅎ
15,15,새로나오는 카니발을 기다리다 이 영상보고 오늘 현대 직영점에 가서 팰리세이드 전시차량 3열 앉아보았습니다.머리 부위 여유가 큰 차이네요. 아이 둘 4인가족인데 가끔 부모님과 함께할 생각으로 카니발 9인승 생각하다팰리 8인승으로 마음 굳혔습니다. 큰 도움 됐습니다.ㅎ
16,16,도움이 되셨다니 감사합니다♡
17,17,카니발9인승 가시는게...
