,Unnamed: 0,댓글
0,0,괜찮니괜찮아 김창옥님 강연은 진솔한 울림으로 다가옵니다늘 그렇듯이 또 선생님께 감동합니다 선생님도 괜찮으시길 …진심으로 감사드립니다
1,1,요즘은 김창옥교수님  강의가 너무 좋네요.가식적이지 않고ㅎ
2,2,소통령 교수님화이팅입니다
3,3,요즘은 김창옥교수님  강의가 너무 좋네요.가식적이지 않고ㅎ
4,4,5인 가장으로 인생의 절반을 달려온 것 같은데 정치상황에 백신패스 까지 권태 상황에 위안을 받고 갑니다. ㅠ
5,5,박사님 감사합니다. 여기까지 잘 왔다란 말 너무너무 감사합니다. 쉬어 가고 싶은데 쉬어 갈 수가 없다란 생각은 잘 못된 건가요?제가 말이 많고 실수하는 일이 많다는 건 압니다. 그렇다고 뒤통수는 안 치는 데 제가 말로 너무 많은 사람들에게 상처를 준 걸까요?선생님의 말씀대로 침묵을 배우도록 하겠습니다.
6,6,마음 따뜻해지면서 많은 생각을 하게되는 강연이었습니다.
7,7,김아영님 응원합니다~
8,8,참 솔직한 강의  내 마음을 따듯하게  해주네요~~나의소중함을  다시한번 생각하게 됩니다
9,9,떨려??그래 떨어~~너무 위로가 되고 힘납니다~^넘좋은강의늘 감사드려요~^
10,10,마음의 위로가 됩니다 감사합니다
11,11,김창옥 씨 항상 감사하고 고맙습니다.....
12,12,명강의... 예요..
13,13,교수님 강의는 마음이 따뜻해져요. 참 신기해요ㅎㅎ 감사합니다!
14,14,교수님 아버님 잘생기셨어요
15,15,자존심의 꽃이 떨어져야 인격의 열매가 맺힌다  명언 입니다
16,16,=
17,17,"""그래~여기까지 잘왔다~~~~'  진정성과 위로가 느껴집니다"
18,18,쉬운일 하다가 낼부터 도서관 근무를 하는데 넘 어려워 보여 도망가고 싶었습니다. 그래도 맘을 다잡고 열심히  배워보려 합니다. 세상에 못 할건 없다. 아자아자 화이팅.
19,19,코로나로 영상이 더 퍼져 스토리가 많이 알려지는 장단점이 발생했지만그래도 원톱^^
20,20,교수님  새해복 많이 받으세요
21,21,저도 그런 경험을 했었어요....  지금은 그런 생각이 들때쯤엔 이것도 조금 있으면 지나가려니ㅡ 생각해요. 교수님 비롯해서 모두들 힘내세요~~
22,22,눈물이 줄줄나네;;
23,23,ㅠㅠㅠㅠ 눈물이 너무 나네요 저는~힘을 주셔서 너무 감사합니다~
24,24,공감 또 공감 입니다.좋아하는 일을 수십년 하고 있음에도  힘드네요~이제는 어쩔수없는 현실 때문에 진행형 이지만 자주 지치고 힘든데 교수님 의  강의가 또 저를 일으켜 세웁니다.늘 감사드립니다.교수님 의 강의를 듣고 포기하지 않고 용기를 얻는 사람들이 많다는거 잊지 않으셨으면 좋겠네요~
25,25,항상 감사합니다!
26,26,남친이랑 올해6년째입니다. 권태가왔어요. 교수님 강의를 듣고 생각이 바뀌네요. 감사합니다.
27,27,교수님 강의 듣고 웃네요.
28,28,애썼다... 토닥토닥 감사합니다.^^
29,29,눈물 난다 감사해요♡
30,30,감사합니다~~
31,31,와 역시 유쾌상쾌통쾌비유법의 천재
32,32,잘듣고 갑니다
33,33,
34,34,교수님 많은 위로가 됐어요
35,35,
36,36,난 이런강연을 들으면 내경우를 생각않하고 주변인들을 생각 되는데 내가 이상한건가?
37,37,제 아내를 위해 강연해주세요.
38,38,참 공감 백배네요ㆍ홧팅!!
39,39,"일단 이쁘면 타켓이 되고, 잘생겨도 타켓된다."
40,40,
41,41,교수님 강의를 죄다 봐서 그런지....많이 겹치네요...ㅎㅎ 겹치니까....재미와 흥미가 떨어지네요...ㅎㅎ뭐 교수님도 사람이니...소스가 떨어지겠죠...그래도 응원합니다...^^
42,42,허경영 의 아이디어가 대한민국 을 꿰뚫어 보고 있었다.  추운 겨울밤이면 허경영 의 나라  사랑  하는  마음이  보인다.  허경영 의 눈물을  보면  그가  살아 온 길도  보인다.
43,43,아...이분 너무 재밌어 ㅋㅋ
44,44,8:13 뭘 자꾸 사래.. 공수표/빈 볼 던지는 놈들..남의 노력과 돈이 지꺼인양 구는 인간들은 인맥에서 반드시 제거해야 한다.강사님도 당황 한것봐…정신과는 그닥 필요가 없구나 ㅋㅋㅋ
45,45,권태기가 올때가 되면일에 경지까지 올라간거고내경제도 무시 못하고계속 할수 밖에그러다 보면권태기가 넘어가진다 ㅋㅋ
46,46,️
47,47,"엄밀히 따지면 삶의 모든 대응의 주체는 개인이라는 출발점에서 보자면 요즘 사회는 당연히 개인적인 관점에서감당하고 다루어야할 사항을 사회적인 차원으로 공론화 시키는 경향이 다분하다.그게 의도적이었든 아니었든지 간에 이로 인한 혼란이 오히려 더 혼란을 가중시킨다고 본다.위로, 감동, 인정.... 다 좋은 단어이지만 결국 선택의 자유와 책임은 개인이라는 것은 변하지 않는다. 여기서 자유의 선택은 무한으로 넓히려 하고책임은 사회로 떠 넘기려 하는 것은 극단적 개인주의가 아닐까?"
48,48,중국출신 가수 쓰지말아야합니다 헨리 가수 중국으로 도망갔어도 인공위성 표식있음 제가 잠시 찐팬이였을때 알게된사실입니다 심지어 네임 바꾸어 댓글도 조작하고 세탁합니다 아주 교활한 또라이 연예인 맞읍니다 지금도 핸드폰 교란시키며 스토커짓 함
49,49,끄덕끄덕
50,50,채마리솔 그게 직업이냐? 스노보드 타는게? ㅋㅋㅋㅋㅋ
51,51,에고.  힘드셨군요..아주오래전.  뽀족한 가시로 청중을 쏘아붙이는 모습을 보고   댓글로 비난했었던 ...기억이.... 지나고보니.  아픈. 상처가 당신도 있어서 그랬나보오......
52,52,1타
53,53,수염기르지마요~ 노홍철 같아요
54,54,원희씨는 말 하실때한번 쯤 생각 하시고말씀 하셔야 될듯~~
55,55,김원희씨  잘하고  있는데..재밌어요~
56,56,원희씨만한사람 없음..
57,57,멸공!!! 멸공!! 자유시간!!굿바이 이재명에 이어 굿모닝 윤석열=>서점에서 지금 판매합니다.
58,58,"야이 자식아 너의 일방적 생각ㅇ,ㄹ 보편합리화 화지 마. 지겹다 너의 옅다 옅은 지력이 자슥아"
59,59,병원가봐
60,60,"지력이 옅다 깊다는 누가 판단 하는 걸까요? 너는 그냥 지나가면 되는데, 똥을  싸고 가네요 불특정 다수에게  도움 안 되고 불쾌한 존재."
61,61,왜그리 비비꼬였는지요?
62,62,니 인생이 더 지겨울듯
63,63,지겨우면 꺼지면 돼
64,64,열정이 없어졌네요.
65,65,교수님 권태기는 어떻게 이겨네요?
66,66,이게 왜 강연인지 모르겠네요. 계속 이얘기 저얘기 하고 재미는 있지만 듣고나면 교훈도 없고 남는것도 없고 실천할만한 것도 없고 스탠딩코메디라고 하시죠?
67,67,찔리시는듯
68,68,그게 소통박사 김창옥 스타일~~굳이 교훈을 얻으려고 강의를 듣진않네요
69,69,캐릭터가 너무나 귀여워서 계속 보고 있습니다~ 역사에 대해서도 다시 보게되어 공부가 잘되고 있습니다
70,70,딱 알맞은 캐릭터들과 설명 덕분에 집중이 진짜 잘 되고 정말 재밌고 유익하게 봤어요 감사합니다
71,71,아니 이분 너무 집중이 잘 되게 설명해주셔서 스킵 한 번됴 안 하고 한시간 반을 다 봤어요 정말 재밌습니다
72,72,역사의 흐름이 이렇게 재미있는줄 몰랐어요. 역사의 흐름상 중요한 포인트를 너무 매끄럽게 짚어나가는데다 목소리도 알아듣기 좋아서 내용이 쏙쏙 들어와요 ㅎㅎ 이후 영상도 잘 보겠습니다. 너무 감사합니다.
73,73,재밌게 봐주셔서 제가 더 너무너무 감사합니다!! ㅎㅎ
74,74,","
75,75,333
76,76,"풀영상 너무 좋습니다 ㅠ 한번더 들어야겠네요...역사공부하는게 아니고 그냥 이야기 듣는거 같아서 너무 좋아요!!"
77,77,감사합니다! 돌아오는 화요일엔 태조 이성계편이 풀영상으로 올라갈 예정이니 조금만 기다려주세요! ㅎㅎ
78,78,역사가 재미없고 지루한 공부인줄 알았는데 애니메이션으로 쉽게 설명해주시니까 역사에 조금 더 흥미가 생겼습니다
79,79,좋은 말씀 감사합니다!흥미 잃으시지 않도록 앞으로도 쉽고 재밌게 만들어보겠습니다 ㅎㅎ
80,80,너무 재밌어요!! 역사를 이렇게 재밌게 볼 수 있다니!! 한두개씩 보다보니 역주행님이 올려놓은 영상을 다 봤네요. 좋은 영상 감사합니다~
81,81,이해하기 쉽게 요약해서 잘 되었네요잘 들었습니다. 최고
82,82,아주 잘 만들어져서 재밌게 보고 있습니다.  감사합니다.
83,83,ㅇㅈ
84,84,이렇게 잘 만들수가.. 잘 보았습니다. ^^
85,85,우와... 마치 영화 한편을 보는 듯 했습니다.한시간 반만에 육룡이나르샤를 완주했네요. ^^
